Constituency Name,Electorate,Conservative Votes,Conservative Vote (proportion),Labour Votes,Labour Vote (proportion),Lib Dem Votes,Lib Dem Vote (proportion),Turnout (Proportion),Binary_Con (1 = win),Median House Price (£),Ratio of median house price to median salary,Home Ownership (proportion of households),Unemployment Rate,Share of LSOAs (small areas) in most deprived decile,Number of Businesses,Number of businesses per capita,Standardised Weighted Overall Social Mobility Index,School Funding Per Pupil (Real),Are Religous (proportion),Are Not Religious (proportion),Are Christian (proportion),Are Muslim (proportion),Average Internet Speed (Mb/s),Asthma,Atrial fibrillation,Cancer diagnosis since 2003,Cardiovascular disease (primary prevention),Chronic kidney disease,COPD,Coronary heart disease,Dementia,Depression,Diabetes,Epilepsy,Heart failure,High blood pressure (hypertension),Learning disabilities,Obesity,Osteoporosis,Peripheral arterial disease,Rheumatoid arthritis,"Schizophrenia, bipolar disorder & psychoses",Stroke and transient ischaemic attack,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,"""White""","""Mixed""","""Asian""","""Black""","""Other"""
St Helens South and Whiston,79061,10335,0.130721848,29457,0.372585725,2886,0.036503459,0.636382034,0,158000,6.1,0.642561148,0.037973824,0.224137931,2670,0.033771392,-4.003977382,"4,367",0.682385001,0.256354916,0.630085023,0.040494877,57.3,0.078036745,0.020355708,0.031051238,0.012547862,0.027699876,0.029775965,0.037461975,0.008844408,0.1444129,0.082464607,0.009731833,0.009703193,0.163202207,0.006120382,0.121661646,0.007689761,0.009316948,0.007912972,0.008663483,0.020809037,0.1308368,0.11373271,0.11809815,0.13112082,0.12910113,0.14398569,0.10716877,0.08498396,0.04097196,0.92971441,0.012153913,0.051831262,0.005046872,0.001253543
St Ives,68795,25365,0.368704121,3553,0.051646195,21085,0.306490297,0.747336289,1,278000,8.7,0.597752694,0.022088708,0,3770,0.054800494,-10.65949753,"4,366",0.599435196,0.332767114,0.554134109,0.018260574,114.2,0.062773856,0.018215023,0.028734504,0.010143018,0.026108885,0.017694327,0.027492638,0.008484832,0.115869658,0.069244714,0.008823632,0.006655423,0.135343411,0.005801746,0.104555419,0.004649008,0.004509869,0.006996524,0.008324539,0.016764365,0.13394302,0.11189892,0.11934528,0.14812367,0.1266696,0.14140973,0.09993591,0.07045564,0.04821826,0.88487345,0.025564804,0.05397486,0.030851877,0.004735009
Stockport,65391,11656,0.17825083,21695,0.331773486,5043,0.077120705,0.637931825,0,194000,6.3,0.611416781,0.04011496,0.218181818,3425,0.052377238,3.167595584,"4,365",0.641796135,0.290825267,0.587566302,0.039881449,104.5,0.076492079,0.019747135,0.031291076,0.013505524,0.030951299,0.026156697,0.034096676,0.008285084,0.168931273,0.066859677,0.009330144,0.012196153,0.142998599,0.005985457,0.112027417,0.013812663,0.007434523,0.006153044,0.011053559,0.019094724,0.13629857,0.11318264,0.12520114,0.15584113,0.13414566,0.13496689,0.09548223,0.06409873,0.04078304,0.907323556,0.02194597,0.056170393,0.009361732,0.005198349
Stockton North,66649,16701,0.250581404,17728,0.265990487,1631,0.024471485,0.617503638,0,125000,4.8,0.629995323,0.052280566,0.310344828,2450,0.036759741,-34.72397686,"4,365",0.700933361,0.237958124,0.679712712,0.013256115,118.7,0.073850397,0.024690769,0.031326946,0.013809798,0.043124447,0.031182215,0.040691525,0.010000559,0.16064306,0.074610237,0.010861669,0.01091319,0.161750314,0.00562811,0.147274378,0.008576997,0.008199864,0.007954408,0.008905293,0.023961097,0.12644026,0.11392378,0.12097107,0.13411444,0.11537214,0.14293433,0.11442097,0.08174626,0.05007675,0.959710104,0.009996414,0.021600947,0.006551998,0.002140537
Stockton South,76870,27764,0.361181215,22504,0.292754,2338,0.030414986,0.712917913,1,168000,5.2,0.737073734,0.032494548,0.112903226,3015,0.039222063,13.24055682,"4,364",0.72829067,0.210992498,0.684565713,0.029354168,112.0,0.069500619,0.022202805,0.030079983,0.013293659,0.033966546,0.023481797,0.034569045,0.009686462,0.156090108,0.066920341,0.008885035,0.009989828,0.145838127,0.004675669,0.122623028,0.006709472,0.006525772,0.007128594,0.007213371,0.021345452,0.12217876,0.12051893,0.11257273,0.1319374,0.12831252,0.14016981,0.11357437,0.08315367,0.0475818,0.933689507,0.010815751,0.046637276,0.005322514,0.003534953
Stoke-On-Trent Central,55419,14557,0.262671647,13887,0.25058193,1116,0.020137498,0.578682401,1,115000,4.2,0.525777997,0.044686964,0.320754717,2350,0.04240423,-32.945035,"4,364",0.665732095,0.268916057,0.571236042,0.069539372,98.8,0.066547928,0.019772583,0.02734127,0.014603689,0.03390275,0.026143897,0.031727735,0.008276031,0.156530918,0.081302699,0.010639928,0.008919737,0.15149763,0.006104136,0.140269679,0.006175053,0.007222865,0.0080713,0.009375827,0.019978075,0.12809946,0.11573595,0.17297434,0.14499623,0.11504911,0.12063557,0.09413419,0.06910961,0.03926553,0.85220928,0.020612726,0.097251637,0.020408163,0.009518194
Stoke-On-Trent North,68298,20974,0.307095376,14688,0.215057542,1268,0.018565697,0.587630677,1,119500,4.7,0.617715899,0.042600345,0.306451613,2245,0.032870655,-26.56138159,"4,362",0.683048131,0.252122215,0.617308587,0.057157628,95.3,0.067781434,0.022694778,0.031330521,0.012835159,0.039666929,0.028758581,0.035258154,0.011203147,0.1689041,0.086295971,0.01154665,0.009723899,0.1685401,0.005092387,0.157138612,0.006270767,0.007294997,0.008706136,0.009528792,0.021323475,0.13330726,0.11654225,0.12825067,0.13475199,0.12054539,0.12971546,0.1056064,0.08592183,0.04535878,0.900201623,0.018456289,0.061955229,0.013110686,0.006276172
Stoke-On-Trent South,64491,24632,0.381944767,13361,0.207176195,1611,0.02498023,0.614101192,1,135000,5.0,0.662479762,0.035853627,0.254237288,1915,0.029694066,-2.548116639,"4,361",0.700510392,0.237572454,0.648521873,0.041702498,79.5,0.071592764,0.022773602,0.033105246,0.013074831,0.039817174,0.02776812,0.03757264,0.009694361,0.159102416,0.089589446,0.01223482,0.010582755,0.17509739,0.006673435,0.153623602,0.006197703,0.008441958,0.009684355,0.008610463,0.021581993,0.12990834,0.11468994,0.1215466,0.1260285,0.11639576,0.13629675,0.1157937,0.09364062,0.04569983,0.925004747,0.012999922,0.050000558,0.009236199,0.002758574
Stone,69378,31687,0.456729799,11742,0.169246735,4412,0.063593646,0.718426591,1,220000,6.9,0.786126845,0.013133763,0,4065,0.058592061,-4.179120844,"4,357",0.756460017,0.178304787,0.745005875,0.003442177,61.8,0.070529541,0.029873109,0.043742201,0.013351451,0.040872296,0.020267382,0.037839625,0.009798094,0.123614134,0.073466863,0.009434137,0.010821632,0.179268519,0.004575354,0.107739387,0.003622128,0.006934061,0.009761229,0.006815089,0.024962331,0.09330604,0.10248594,0.09479001,0.09889681,0.12265181,0.16075187,0.13777911,0.12427383,0.06506459,0.97979798,0.007940747,0.008617313,0.00251635,0.00112761
Stourbridge,69891,27534,0.393956303,13963,0.199782518,2523,0.036099069,0.653717932,1,182250,5.9,0.718134052,0.035996327,0.034482759,2865,0.040992402,-20.01921228,"4,356",0.704545455,0.230171954,0.645205723,0.045210166,106.4,0.071902695,0.026090343,0.037253969,0.011965096,0.069075615,0.024480725,0.040813817,0.007928626,0.130933913,0.078750952,0.008734407,0.010505321,0.179318548,0.004994101,0.156176186,0.005280104,0.006534485,0.009989215,0.008600808,0.020248809,0.1143898,0.1134073,0.10885908,0.124546,0.12571617,0.13846664,0.11835293,0.09925485,0.05700722,0.919321514,0.014318404,0.05532969,0.006409402,0.00462099
Stratford-On-Avon,74037,33343,0.450355903,6222,0.084039062,13371,0.18059889,0.743520132,1,320000,10.0,0.714167357,0.013688853,0,6470,0.087388738,63.79352519,"4,356",0.718499265,0.209277885,0.703763137,0.002757374,69.9,0.067810686,0.027958649,0.041754968,0.011157801,0.06233358,0.017519497,0.033165483,0.00951342,0.124013453,0.05981681,0.00762645,0.011751067,0.165434148,0.004419639,0.085541762,0.015654326,0.005723613,0.008500135,0.00740163,0.022824182,0.09885287,0.10271856,0.09112147,0.10261379,0.12225655,0.15255357,0.13037556,0.12261276,0.07689489,0.971228387,0.011018194,0.013617358,0.00237315,0.001762911
Streatham,84783,9060,0.106861045,30976,0.365356262,13286,0.156705943,0.666560513,0,495625,12.9,0.39358808,0.032907727,0,4435,0.052310015,54.28699855,"4,355",0.646002469,0.268066686,0.534308016,0.079724632,76.5,0.048965771,0.00766432,0.01813722,0.008581056,0.02078057,0.008424441,0.012524244,0.00413503,0.087239552,0.055142416,0.004882981,0.004530466,0.092179644,0.003828825,0.072205657,0.005245087,0.002809519,0.004232832,0.011700079,0.008821302,0.12054428,0.08960614,0.18577393,0.24185437,0.13306302,0.10782402,0.06237606,0.03517018,0.02378804,0.581941137,0.074952628,0.077264746,0.243320063,0.022521426
Stretford and Urmston,72372,13778,0.190377494,30195,0.417219367,2969,0.041024153,0.691800696,0,216000,6.9,0.643467435,0.032977858,0.066666667,3725,0.051470182,2.717857724,"4,354",0.733334008,0.204174219,0.613849254,0.093509808,95.2,0.08230726,0.021393312,0.031381434,0.013765714,0.049826438,0.023952267,0.034029262,0.007834616,0.163533012,0.073915347,0.008556835,0.010085844,0.147737303,0.005155601,0.120625396,0.006885662,0.007474096,0.008722905,0.01154418,0.019763335,0.13088684,0.12492001,0.11231672,0.14067408,0.13523892,0.14166855,0.09823653,0.06922932,0.04682901,0.792544735,0.033620594,0.10960111,0.053347376,0.010886186
Stroud,84537,31582,0.373587896,27742,0.328163999,0,0,0.779895194,1,263000,9.2,0.729063923,0.01518489,0,5285,0.062517004,29.81153195,"4,353",0.633385429,0.285896049,0.617365953,0.002204055,59.5,0.076025967,0.026443586,0.037745664,0.011059016,0.060490567,0.018086785,0.033720232,0.009834008,0.100815819,0.065087622,0.008960011,0.009512165,0.147983974,0.007140458,0.08901277,0.011642823,0.005605923,0.008756234,0.007798873,0.019963689,0.10781968,0.11313228,0.09265151,0.10795109,0.13649461,0.15591474,0.1274369,0.10213161,0.05646759,0.978700809,0.011220646,0.006522,0.002474553,0.001081991
Suffolk Coastal,81910,32958,0.402368453,12425,0.15169088,8719,0.106446099,0.711854474,1,275500,9.5,0.709686913,0.017040042,0,4680,0.057135881,-87.91231226,"4,351",0.645283896,0.276749522,0.630555864,0.003548071,59.0,0.074972015,0.034077301,0.046403265,0.013614813,0.077127211,0.022728622,0.044836697,0.012106645,0.116963858,0.069308676,0.008710103,0.014826826,0.181123879,0.004839456,0.119607837,0.010535833,0.006864718,0.008530731,0.009413513,0.025090206,0.09144834,0.09979681,0.08555526,0.0905143,0.10707648,0.15048482,0.1520255,0.13742765,0.08567082,0.970887624,0.011503432,0.012099831,0.003982735,0.001526378
Sunderland Central,72680,15372,0.211502477,18336,0.252283985,3025,0.041620804,0.598183819,0,130000,5.1,0.590790736,0.05057345,0.2,2535,0.034878921,-13.4015485,"4,350",0.725654503,0.214256395,0.682795214,0.028813135,77.3,0.066684743,0.025039522,0.034939173,0.012855115,0.046516316,0.035524139,0.046299433,0.008541825,0.129618579,0.07429555,0.010326682,0.012027375,0.173387632,0.007798081,0.132481703,0.009250368,0.009713621,0.008023337,0.009568653,0.023309484,0.10280485,0.10314928,0.15827182,0.12835351,0.1136896,0.14022242,0.11690778,0.08213759,0.05446315,0.919537468,0.008569855,0.056795315,0.0091305,0.005966862
Surrey Heath,81349,34358,0.422353071,5407,0.066466705,16009,0.19679406,0.721016853,1,399997.5,10.5,0.765505218,0.009592504,0,5370,0.066011875,53.35335085,"4,345",0.683632508,0.244054382,0.634770507,0.016757555,104.5,0.061895826,0.022973567,0.030074531,0.011405022,0.030399016,0.013030078,0.026855205,0.009136095,0.094509431,0.061499985,0.006822848,0.006244056,0.14108343,0.003375091,0.08140727,0.004225811,0.004328188,0.006687698,0.005887305,0.016106519,0.11677072,0.11646949,0.100157,0.1195275,0.14445722,0.1485924,0.10698507,0.08963194,0.05740862,0.910683178,0.017789518,0.05546088,0.010101871,0.005964554
Sutton and Cheam,71779,25235,0.351565221,7200,0.100307889,16884,0.235222001,0.70336728,1,400000,11.5,0.710237131,0.019400922,0,4750,0.066175344,48.22625083,"4,345",0.69203999,0.23405467,0.583006412,0.045484266,108.5,0.056630247,0.016604528,0.032007981,0.010808249,0.036050791,0.013146981,0.024713429,0.008363052,0.09630943,0.064971687,0.006901563,0.007739513,0.130548016,0.004563358,0.080242185,0.009724013,0.003559036,0.006431122,0.008842981,0.013331075,0.13329323,0.11040499,0.10176003,0.15423128,0.15628821,0.13180873,0.09051482,0.07248755,0.04921116,0.786035181,0.034959504,0.129302708,0.034769679,0.014932928
Sutton Coldfield,75638,31604,0.417832307,12332,0.163039742,6358,0.084058278,0.691781909,1,290000,7.8,0.794118384,0.020618932,0.016666667,3875,0.051230863,71.85059095,"4,345",0.730188104,0.208218112,0.665786956,0.019241486,109.6,0.064031973,0.024764973,0.037376472,0.00979879,0.039857934,0.013599192,0.03384345,0.008097331,0.092294018,0.07146051,0.008162283,0.00847453,0.146177448,0.004424113,0.085148409,0.004606597,0.004415256,0.008062832,0.008309503,0.020047454,0.11675651,0.11220616,0.10704982,0.10678404,0.12421989,0.14343124,0.117926,0.10162772,0.06999862,0.886664494,0.021743931,0.066619702,0.019903898,0.005067976
Tamworth,71572,30542,0.426731124,10908,0.152405969,2426,0.033895937,0.643491868,1,219995,7.6,0.701924565,0.026053338,0.064516129,3640,0.050857877,-35.41529355,"4,345",0.661243628,0.277183376,0.643107391,0.004374095,100.9,0.069679821,0.022706614,0.034887924,0.011256652,0.04501799,0.01942393,0.034720831,0.007742541,0.132863833,0.075256045,0.008720324,0.009122144,0.146596701,0.005859977,0.121277283,0.008471103,0.005422718,0.008932321,0.007413587,0.019068385,0.1147832,0.11501301,0.11481455,0.12403773,0.12779803,0.14103219,0.11686183,0.0969949,0.04866457,0.966528206,0.010720205,0.015713177,0.005695764,0.001342648
Tatton,69018,28277,0.409704715,10890,0.157784926,7712,0.111738967,0.709481585,1,339997.5,10.0,0.753066769,0.014720236,0,6285,0.091063201,26.02766387,"4,344",0.721700855,0.21309336,0.693808061,0.011496435,79.8,0.068555473,0.027483021,0.040754138,0.013345922,0.045980603,0.017035442,0.033496981,0.010894186,0.125252735,0.059604416,0.008464504,0.009937379,0.152699654,0.005080717,0.093114314,0.013810703,0.006553732,0.008022431,0.007397188,0.022012827,0.11070245,0.10872457,0.08147403,0.10713996,0.13405507,0.15495564,0.12497541,0.10812311,0.06984975,0.95502272,0.012504894,0.024452169,0.004010108,0.004010108
Taunton Deane,88676,34164,0.385267716,4715,0.053171095,22464,0.253326717,0.718717579,1,229975,8.0,0.669260452,0.021574958,0.044776119,4885,0.055088186,-20.88662175,"4,343",0.635229201,0.285296814,0.620935319,0.003621117,49.5,0.069825596,0.027113744,0.041310073,0.012737391,0.043840203,0.023106175,0.035708793,0.009163874,0.153062851,0.070118216,0.009904326,0.010751106,0.153240888,0.005807622,0.107255681,0.017952214,0.007377865,0.008462279,0.008154831,0.022643611,0.11213762,0.10988004,0.10144952,0.11676943,0.12145952,0.14261079,0.12429191,0.10350717,0.06789403,0.972129199,0.009166236,0.014593373,0.002595588,0.001515605
Telford,68921,25546,0.370656259,14605,0.211909287,2674,0.038798044,0.62136359,1,166000,6.1,0.605227036,0.03660736,0.25,2765,0.040118396,-15.8043763,"4,343",0.625560265,0.307949402,0.590655054,0.007392733,101.8,0.06688583,0.017555468,0.027505444,0.012238051,0.04228885,0.022803702,0.029837574,0.006182113,0.164319648,0.08032775,0.009588508,0.007914213,0.138139513,0.004182993,0.110332725,0.003798438,0.007249576,0.008026818,0.009253173,0.017889491,0.1399363,0.12004651,0.1236564,0.14044189,0.12928866,0.13377825,0.10248242,0.07449315,0.03587643,0.934915172,0.01860357,0.032979559,0.010568953,0.002932746
Tewkesbury,83958,35728,0.425546106,9310,0.110888778,13318,0.158626933,0.728221253,1,267250,8.0,0.752194752,0.015958097,0,4610,0.054908407,-21.12959381,"4,342",0.6809057,0.247763262,0.664153097,0.00484032,95.4,0.074316203,0.027706286,0.037014156,0.013749208,0.060337294,0.018944145,0.03491165,0.010219389,0.11183841,0.069308006,0.008649336,0.009557544,0.147764478,0.005082228,0.10730056,0.007955964,0.005633971,0.008685926,0.006660351,0.021166405,0.11926839,0.10326411,0.09694734,0.12463628,0.1241754,0.14668618,0.11997325,0.10360749,0.06144155,0.969877922,0.010200338,0.014510771,0.003637883,0.001773086
The Cotswolds,81939,35484,0.433053857,7110,0.086771867,15270,0.186358144,0.746604181,1,342750,11.0,0.66970781,0.013039439,0,6870,0.083842859,27.14719889,"4,340",0.691978632,0.233817453,0.680491215,0.001898919,76.3,0.074971223,0.030355329,0.041171735,0.0109898,0.071550469,0.017282346,0.033742363,0.010227236,0.099178751,0.061156408,0.007523112,0.009099824,0.15381951,0.003162238,0.085936348,0.007592819,0.005175437,0.008193207,0.006307448,0.021727678,0.09992545,0.10535691,0.08676795,0.09465857,0.12552403,0.1575997,0.13750036,0.12026683,0.07240019,0.978788448,0.008284295,0.009327657,0.002524936,0.001074663
The Wrekin,70693,31029,0.438926061,12303,0.174034204,4067,0.057530449,0.691581911,1,200000,6.0,0.670716554,0.019394686,0.052631579,2925,0.041376091,1.921637233,"4,339",0.705986535,0.229142832,0.659310921,0.026885506,91.6,0.070269368,0.022594913,0.036278978,0.012532269,0.053508433,0.018708884,0.033277423,0.007839713,0.13204691,0.07782217,0.00888863,0.008745296,0.148343411,0.004038361,0.112048333,0.003332065,0.007432175,0.008205491,0.007474944,0.02116735,0.11451441,0.12149111,0.12347415,0.11911759,0.12701903,0.14306851,0.10924337,0.09184784,0.05022401,0.926471882,0.015576872,0.04554255,0.009372525,0.00303617
Thirsk and Malton,80991,35634,0.439974812,10480,0.129397094,6774,0.083638923,0.698694917,1,220000,8.0,0.688007577,0.014746938,0,6300,0.077786421,-17.72650307,"4,338",0.727949747,0.199290349,0.720151832,0.001609093,54.6,0.075063504,0.032366409,0.045536509,0.011445458,0.058467448,0.021996531,0.042988112,0.009889688,0.107719817,0.070376894,0.00786733,0.013415095,0.177510669,0.00440681,0.135441665,0.012328839,0.008028727,0.01042455,0.006825434,0.026116653,0.09541972,0.10049266,0.08668845,0.09647336,0.11327252,0.16048973,0.14720257,0.12664748,0.07331349,0.986219559,0.005848436,0.005312071,0.001660667,0.000959267
Thornbury and Yate,69492,30202,0.434611178,4208,0.060553733,17833,0.256619467,0.751784378,1,300000,9.6,0.794085039,0.012324113,0,3940,0.056697174,4.946961488,"4,337",0.635036056,0.288968478,0.622989171,0.003472976,100.1,0.077662487,0.02776743,0.039809825,0.011352013,0.061912077,0.016323915,0.033136954,0.008488089,0.124003705,0.066031392,0.008101571,0.010308904,0.147126768,0.004065284,0.096325053,0.017674603,0.005909898,0.008222681,0.004954265,0.020736842,0.11219786,0.1109142,0.09775991,0.11712786,0.12355733,0.15331924,0.11657126,0.10857417,0.05997818,0.975870053,0.009213033,0.010117454,0.00342474,0.00137472
Thurrock,79659,27795,0.348924792,16313,0.204785398,1510,0.018955799,0.595877428,1,275000,8.3,0.615865615,0.032702013,0.057142857,4805,0.060319612,24.60958693,"4,337",0.674534429,0.262233882,0.621573266,0.024747323,110.0,0.052433502,0.013277993,0.021521687,0.016517364,0.040289022,0.018720268,0.022187475,0.005649439,0.108421146,0.068564437,0.007277841,0.007345271,0.131100397,0.003540806,0.099514296,0.005988057,0.0039369,0.007594463,0.007217939,0.013604623,0.16012805,0.12789004,0.12030464,0.16417108,0.14477517,0.12363463,0.07763669,0.05275653,0.0287032,0.824970969,0.022149585,0.046372199,0.099513999,0.006993248
